Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
107.00,15227.36,15243.24,15180.3,15200.1,52.06,791684.75,15206.42
108.00,15200.1,15242.41,15150.58,15158.06,47.65,723999.81,15194.87
109.00,15158.07,15187.8,15123.97,15145.04,73.08,1107443.14,15153.29
110.00,15161.39,15172.13,15111,15111.01,14.23,215338.72,15133.13
111.00,15111.01,15147.78,15050,15094.89,83.53,1259455.93,15077.72
112.00,15050.01,15114.76,15050,15077.24,46.08,695085.96,15085.62
113.00,15100.19,15168.52,15085.71,15127.51,39.4,595079.31,15103.25
114.00,15168.71,15183.72,15115,15136.03,22.93,347571.07,15156.39
115.00,15136.03,15170.87,15101.43,15162,7.91,119844.94,15152.07
116.00,15151.42,15151.42,15130.01,15150.98,21.67,328315.3,15149.4
117.00,15150.98,15151,15130.5,15151,32.52,492655.86,15149.45
118.00,15151,15151,15080.83,15080.83,23.33,353095.58,15137.61
119.00,15077.74,15121.2,14951.34,14951.34,69.82,1048466.86,15016.31
120.00,14951.34,14991.22,14849.99,14850,76.54,1140889.29,14905.08
121.00,14850,14917.25,14798.15,14850,200.99,2980369.29,14828.29
122.00,14850,14860,14725,14799.96,102.89,1519519.33,14768.07
123.00,14799.96,14875.09,14738.36,14810.5,47.53,703864.08,14807.73
124.00,14810.49,14810.49,14619.1,14649.89,96.83,1421149.48,14676.87
125.00,14649.89,14747.1,14619.81,14664.99,113.6,1667066.94,14674.66
126.00,14664.99,14710.99,14602.03,14710.99,119.88,1756080.15,14649.02
127.00,14719.99,14744.14,14582.64,14582.64,58.86,863047.26,14663.77
128.00,14582.99,14656.81,14550,14581.49,80.34,1172247.18,14591.75
129.00,14608.32,14620,14438,14513.95,160.94,2334520.79,14505.73
130.00,14479,14589.51,14427.35,14565.29,74.19,1074001.09,14475.54
131.00,14571.97,14619,14531.22,14590.99,48.67,709814.15,14584.36
132.00,14590.99,14644.82,14522.04,14608.98,35.58,519213.28,14593.76
133.00,14608.98,14765.84,14583.18,14729.27,67.3,990638.78,14720.78
134.00,14729.27,14741.37,14679.63,14679.63,16.96,249394,14705.26
135.00,14678.53,14680.85,14590.14,14590.14,13.26,194279.25,14656.84
136.00,14621.43,14692.1,14470.02,14660,43.7,636756.88,14570.05
137.00,14684.31,14690.04,14630.33,14630.71,43.86,642927.88,14659.25
